date,amount,category,description
1-12-2024,125,Expense,Sunday purchase
01-12-2024,200.0,Expense,Meat
02-12-2024,250.0,Income,Codecamp
1-12-2024,125,Expense,Sunday purchase
2-12-2024,500,Income,Freelance payment
3-12-2024,300,Expense,Grocery shopping
4-12-2024,200,Expense,Pet care
5-12-2024,1000,Income,Salary bonus
6-12-2024,450,Expense,Dining out
7-12-2024,750,Expense,Monthly subscription
8-12-2024,150,Expense,Transportation
9-12-2024,600,Income,Part-time work
10-12-2024,325,Expense,Utility bills
